stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
2,1004,"RICHMOND HWY @ BACKLICK RD",,38.708492,-77.160581,,,,,,0
3,1005,"RICHMOND HWY @ SOUTHGATE DR",,38.773520,-77.081300,,,,,,1
4,1007,"RICHMOND HWY @ COLLARD ST",,38.766970,-77.083650,,,,,,0
5,1008,"RICHMOND HWY @ FORDSON RD",,38.749140,-77.083220,,,,,,0
6,1009,"RICHMOND HWY @ LOCKHEED BLVD",,38.758500,-77.084000,,,,,,0
7,1010,"RICHMOND HWY @ ARLINGTON DR",,38.754940,-77.083720,,,,,,0
8,1014,"RICHMOND HWY @ MOUNT EAGLE DR",,38.786650,-77.068660,,,,,,0
9,1015,"RICHMOND HWY @ FAIRHAVEN AVE",,38.784150,-77.073830,,,,,,0
10,1016,"RICHMOND HWY @ FRANKLIN ST",,38.777790,-77.080260,,,,,,0
11,1019,"MT VERNON HWY @ ALBEE LA",,38.733470,-77.092420,,,,,,0
12,1021,"MOUNT VERNON HWY @ BATTERSEA LN (N)",,38.727490,-77.091130,,,,,,0
13,1023,"MOUNT VERNON HWY @ WESSYNTON WAY",,38.718890,-77.089680,,,,,,0
14,1024,"MOUNT VERNON HWY @ BRADDOCK AVE",,38.720530,-77.090040,,,,,,0
15,1044,"LITTLE RIVER TPKE @ OASIS DR",,38.817790,-77.142190,,,,,,0
16,1045,"MT VERNON HWY @ CUNNINGHAM DR",,38.717880,-77.089200,,,,,,0
17,1046,"MT VERNON HWY @ WOODLAND LA",,38.720930,-77.089930,,,,,,0
18,1048,"MT VERNON HWY @ BATTERSEA LA N",,38.727610,-77.090950,,,,,,0
19,1049,"MT VERNON HWY @ SUNNY VIEW DR",,38.735520,-77.091460,,,,,,0
20,1060,"TELEGRAPH RD @ WILTON RD",,38.787500,-77.089640,,,,,,0
21,1061,"DARTMOUTH DR @ RADCLIFFE DR",,38.768060,-77.068960,,,,,,0
22,1062,"MARY BALDWIN DR @ KENYON DR",,38.768460,-77.071290,,,,,,0
23,1064,"SMITHWAY DR @ BEACON HILL RD",,38.770290,-77.073820,,,,,,0
24,1066,"MARY BALDWIN DR @ KENYON DR",,38.768370,-77.071250,,,,,,0
25,1067,"MARY BALDWIN DR @ RADCLIFFE DR",,38.768480,-77.069390,,,,,,0
26,1068,"DARTMOUTH DR @ RANDOLPH MACON DR",,38.768150,-77.068470,,,,,,0
27,1069,"DARTMOUTH DR @ QUANDER RD",,38.769120,-77.066540,,,,,,0
28,1070,"LOCKHEED BLVD @ FAIRCHILD DR",,38.759670,-77.088670,,,,,,0
29,1071,"LOCKHEED BLVD @ FAIRCHILD DR",,38.759530,-77.088860,,,,,,0
30,1074,"ARLINGTON DR @ WINDBREAK DR",,38.755300,-77.078400,,,,,,0
31,1078,"ARLINGTON DR @ VERNON SQUARE DR",,38.754800,-77.080520,,,,,,0
32,1079,"ARLINGTON DR @ RICHMOND HWY",,38.754690,-77.082920,,,,,,0
33,1092,"LORTON PARK AND RIDE",,38.703928,-77.222213,,,,,,0
35,1101,"NORTON RD @ FRANCONIA RD",,38.792090,-77.093910,,,,,,0
36,1107,"METRO PENTAGON BAY L7",,38.869101,-77.054181,,,,,,0
37,1108,"VAN DORN METRO BAY D",,38.799500,-77.128660,,,,,,0
38,1115,"NEWINGTON FRST AVE@TREASURE TREE CT",,38.740019,-77.250289,,,,,,0
39,1119,"TELEGRAPH RD @ ROSE HILL DR",,38.774860,-77.110850,,,,,,0
40,1130,"SUMMER RIDGE RD @ WORSLEY WAY",,38.760340,-77.137280,,,,,,0
42,1135,"SHELDON DR @ BREN MAR DR",,38.797019,-77.157191,,,,,,0
43,1139,"BREN MAR DR @ MERLE PL",,38.797573,-77.155095,,,,,,0
44,1140,"KINGSTOWNE BLVD @ SIR VICEROY DR",,38.771480,-77.135410,,,,,,0
45,1141,"EDSALL RD @ MONTGOMERY ST",,38.807070,-77.175810,,,,,,0
46,1142,"HANOVER AVE @ MONTICELLO BLVD",,38.779230,-77.194990,,,,,,0
49,1145,"EDSALL RD @ MONTGOMERY ST",,38.806870,-77.176280,,,,,,0
50,1146,"KINGSTOWNE BLVD @ KINGSTOWNE CTR",,38.772220,-77.134690,,,,,,0
51,1147,"HANOVER AVE @ MONTICELLO BLVD",,38.778730,-77.194770,,,,,,0
52,1148,"SOUTHRUN RD @ CALVERT CLIFF CT",,38.728450,-77.245480,,,,,,0
53,1159,"BURKE CENTER VRE",,38.797252,-77.299997,,,,,,0
54,1170,"FRANCONIA RD @ EDISON HIGH SCHOOL",,38.783970,-77.133020,,,,,,0
55,1172,"HUNTINGTON METRO SOUTH BAY C",,38.792322,-77.076025,,,,,,0
56,1173,"HUNTINGTON METRO SOUTH BAY D",,38.792776,-77.076203,,,,,,0
57,1175,"HARRISON LA @ BEDROCK RD",,38.761555,-77.095461,,,,,,0
58,1176,"FORDSON RD @ RICHMOND HWY",,38.750881,-77.084199,,,,,,0
59,1177,"MT. VERNON SQUARE APARTMENTS",,38.757610,-77.077633,,,,,,0
60,1178,"FORDSON RD @ HUNTLEY MEADOWS PLZ",,38.751002,-77.084034,,,,,,0
61,1179,"HARRISON LA @ ROBERT E LEE PL",,38.761294,-77.095343,,,,,,0
63,1183,"FRANCONIA-SPRINGFIELD METRO BAY E",,38.766772,-77.168881,,,,,,0
64,1184,"FRANCONIA-SPRINGFIELD METRO BAY F",,38.766773,-77.168673,,,,,,0
65,1185,"FRANCONIA-SPRINGFIELD METRO BAY G",,38.766837,-77.168421,,,,,,0
66,1186,"FRANCONIA-SPRINGFIELD METRO BAY H",,38.766950,-77.168045,,,,,,0
68,1188,"LAUREL CREST DR @ PINION PL",,38.717166,-77.229339,,,,,,0
69,1189,"LORTON VRE BAY A",,38.714921,-77.214324,,,,,,0
70,1190,"DEFENSE LOGISTICS AGENCY",,38.721032,-77.162215,,,,,,0
71,1191,"HUNTINGTON METRO NORTH BAY A",,38.795093,-77.075052,,,,,,0
72,1194,"HUNTINGTON METRO NORTH BAY D",,38.795518,-77.075014,,,,,,0
73,1195,"HUNTINGTON METRO NORTH BAY E",,38.795645,-77.075002,,,,,,0
74,1200,"VAN DORN METRO BAY F",,38.799590,-77.128198,,,,,,0
75,1201,"FRANCONIA RD @ EDISON HIGH SCHOOL",,38.784180,-77.131790,,,,,,0
76,1202,"TELEGRAPH RD @ ROSE HILL DR",,38.774721,-77.110801,,,,,,0
77,1203,"NORTON RD @ FRANCONIA RD",,38.792558,-77.093656,,,,,,0
78,1204,"HUMPHREYS ENGINEER CENTER",,38.743881,-77.142503,,,,,,0
84,1217,"ALABAMA DR @ FLORIDA AVE",,38.963401,-77.392711,,,,,,0
85,1218,"ALABAMA DR @ FLORIDA AVE",,38.963224,-77.392578,,,,,,0
93,1226,"AMHERST AVE @ SPRINGFIELD BLVD",,38.777656,-77.185160,,,,,,0
94,1227,"AMHERST AVE @ CUMBERLAND AVE",,38.783800,-77.187060,,,,,,0
95,1228,"AMHERST AVE @ ESSEX AVE",,38.785880,-77.187370,,,,,,0
97,1230,"AMHERST AVE @ FLOYD AVE",,38.789450,-77.187450,,,,,,0
98,1231,"AMHERST AVE @ HIGHLAND ST",,38.792020,-77.186870,,,,,,0
99,1239,"ARLINGTON DR @ REPUBLIC CT",,38.754560,-77.079160,,,,,,0
100,1241,"ARLINGTON DR @ RICHMOND HWY",,38.754520,-77.082300,,,,,,0
101,1246,"ARMSTRONG ST @ UNIVERSITY DR",,38.841461,-77.307908,,,,,,0
102,1248,"ARLINGTON DR @ WINDBREAK DR",,38.756210,-77.077820,,,,,,0
104,1254,"BACKLICK RD @ AUBURN ST",,38.822640,-77.192010,,,,,,0
105,1255,"BACKLICK RD @ BACKLICK CT",,38.801160,-77.184720,,,,,,0
106,1256,"BACKLICK RD @ BACKLICK CT",,38.800820,-77.184630,,,,,,0
108,1259,"BACKLICK RD @ BEVERLY ST",,38.821130,-77.191210,,,,,,0
