trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
3904010,101,2,"101 Huntington - Metro North",,1,1012101,shp-101-01,1,2
6410010,101,2,"101 Huntington - Metro North",,1,1012101,shp-101-01,1,2
6135020,101,4,"101 Huntington - Metro North",,1,1012101,shp-101-01,1,2
2409020,101,4,"101 Huntington - Metro North",,1,1015101,shp-101-01,1,2
5011020,101,4,"101 Huntington - Metro North",,1,1017101,shp-101-01,1,2
3946070,101,1,"101 Huntington - Metro North",,1,1011101,shp-101-01,1,2
7598070,101,1,"101 Huntington - Metro North",,1,1011101,shp-101-01,1,2
407010,101,2,"101 Huntington - Metro North",,1,1011101,shp-101-01,1,2
5710020,101,4,"101 Huntington - Metro North",,1,1012101,shp-101-01,1,2
3871070,101,1,"101 Huntington - Metro North",,1,1011101,shp-101-01,1,2
4252070,101,1,"101 Huntington - Metro North",,1,1011101,shp-101-01,1,2
3965020,101,4,"101 Huntington - Metro North",,1,1013101,shp-101-01,1,2
6805010,101,2,"101 Huntington - Metro North",,1,1011101,shp-101-01,1,2
5238080,101,3,"101 Huntington - Metro North",,1,1012101,shp-101-01,1,2
7644020,101,4,"101 Huntington - Metro North",,1,1017101,shp-101-01,1,2
3819020,101,4,"101 Huntington - Metro North",,1,1011101,shp-101-01,1,2
6957070,101,1,"101 Huntington - Metro North",,1,1011101,shp-101-01,1,2
5690010,101,2,"101 Huntington - Metro North",,1,1011101,shp-101-01,1,2
697010,101,2,"101 Huntington - Metro North",,1,1012101,shp-101-01,1,2
2253010,101,2,"101 Huntington - Metro North",,1,1011101,shp-101-01,1,2
1876010,101,2,"101 Huntington - Metro North",,1,1012101,shp-101-01,1,2
233070,101,1,"101 Huntington - Metro North",,1,1011101,shp-101-01,1,2
2199070,101,1,"101 Huntington - Metro North",,1,1011101,shp-101-01,1,2
663080,101,3,"101 Huntington - Metro North",,1,1011101,shp-101-01,1,2
180080,101,3,"101 Huntington - Metro North",,1,1011101,shp-101-01,1,2
5891070,101,1,"101 Huntington - Metro North",,1,1011101,shp-101-01,1,2
7181020,101,4,"101 Huntington - Metro North",,1,1016101,shp-101-01,1,2
8792020,101,4,"101 Huntington - Metro North",,1,1015101,shp-101-01,1,2
692080,101,3,"101 Huntington - Metro North",,1,1011101,shp-101-01,1,2
395080,101,3,"101 Huntington - Metro North",,1,1011101,shp-101-01,1,2
4426080,101,3,"101 Huntington - Metro North",,1,1011101,shp-101-01,1,2
9630080,101,3,"101 Huntington - Metro North",,1,1012101,shp-101-01,1,2
9018080,101,3,"101 Huntington - Metro North",,1,1011101,shp-101-01,1,2
339070,101,1,"101 Huntington - Metro North",,1,1012101,shp-101-01,1,2
5095080,101,3,"101 Huntington - Metro North",,1,1012101,shp-101-01,1,2
1262080,101,3,"101 Huntington - Metro North",,1,1012101,shp-101-01,1,2
2976020,101,4,"101 Huntington - Metro North",,1,1015101,shp-101-01,1,2
6856070,101,1,"101 Huntington - Metro North",,1,1011101,shp-101-01,1,2
535010,101,2,"101 Huntington - Metro North",,1,1011101,shp-101-01,1,2
7373080,101,3,"101 Huntington - Metro North",,1,1012101,shp-101-01,1,2
918010,101,2,"101 Huntington - Metro North",,1,1012101,shp-101-01,1,2
1978080,101,3,"101 Huntington - Metro North",,1,1012101,shp-101-01,1,2
2522020,101,4,"101 Huntington - Metro North",,1,1015101,shp-101-01,1,2
2735070,101,1,"101 Huntington - Metro North",,1,1012101,shp-101-01,1,2
4197080,101,3,"101 Huntington - Metro North",,1,1011101,shp-101-01,1,2
9173020,101,4,"101 Huntington - Metro North",,1,1013101,shp-101-01,1,2
6795080,101,3,"101 Huntington - Metro North",,1,1011101,shp-101-01,1,2
7797070,101,1,"101 Huntington - Metro North",,1,1012101,shp-101-01,1,2
2856020,101,4,"101 Huntington - Metro North",,1,1012101,shp-101-01,1,2
8265070,101,1,"101 Huntington - Metro North",,1,1012101,shp-101-01,1,2
5316080,101,3,"101 Huntington - Metro North",,1,1011101,shp-101-01,1,2
4518070,101,1,"101 Huntington - Metro North",,1,1011101,shp-101-01,1,2
8885070,101,1,"101 Huntington - Metro North",,1,1012101,shp-101-01,1,2
4803080,101,3,"101 Huntington - Metro North",,1,1011101,shp-101-01,1,2
8469020,101,4,"101 Huntington - Metro North",,1,1011101,shp-101-01,1,2
274020,101,4,"101 Huntington - Metro North",,1,1012101,shp-101-01,1,2
2731070,101,1,"101 Huntington - Metro North",,1,1012101,shp-101-01,1,2
5040020,101,4,"101 Huntington - Metro North",,1,1015101,shp-101-01,1,2
8578080,101,3,"101 Huntington - Metro North",,1,1011101,shp-101-01,1,2
3404070,101,1,"101 Huntington - Metro North",,1,1011101,shp-101-01,1,2
1559020,101,4,"101 Huntington - Metro North",,1,1015101,shp-101-01,1,2
6179020,101,4,"101 Huntington - Metro North",,1,1012101,shp-101-01,1,2
4207020,101,4,"101 Huntington - Metro North",,1,1013101,shp-101-01,1,2
208010,101,2,"101 Huntington - Metro North",,1,1012101,shp-101-01,1,2
1603020,101,4,"101 Huntington - Metro North",,1,1015101,shp-101-01,1,2
4639080,101,3,"101 Huntington - Metro North",,1,1011101,shp-101-01,1,2
8816080,101,3,"101 Huntington - Metro North",,1,1012101,shp-101-01,1,2
9462010,101,2,"101 Huntington - Metro North",,1,1011101,shp-101-01,1,2
7886070,101,1,"101 Huntington - Metro North",,1,1011101,shp-101-01,1,2
2358080,101,3,"101 Huntington - Metro North",,1,1011101,shp-101-01,1,2
7534010,101,2,"101 Huntington - Metro North",,1,1012101,shp-101-01,1,2
3063080,101,3,"101 Huntington - Metro North",,1,1011101,shp-101-01,1,2
5205070,101,1,"101 Huntington - Metro North",,1,1011101,shp-101-01,1,2
235020,101,4,"101 Huntington - Metro North",,1,1012101,shp-101-01,1,2
4870020,101,4,"101 Huntington - Metro North",,1,1015101,shp-101-01,1,2
6435010,101,2,"101 Huntington - Metro North",,1,1011101,shp-101-01,1,2
9308020,101,4,"101 Huntington - Metro North",,1,1016101,shp-101-01,1,2
8992070,101,1,"101 Huntington - Metro North",,1,1012101,shp-101-01,1,2
9084020,101,4,"101 Huntington - Metro North",,1,1012101,shp-101-01,1,2
1484020,101,4,"101 Huntington - Metro North",,1,1015101,shp-101-01,1,2
6313020,101,4,"101 Huntington - Metro North",,1,1013101,shp-101-01,1,2
1251020,101,4,"101 Huntington - Metro North",,1,1017101,shp-101-01,1,2
6461020,101,4,"101 Huntington - Metro North",,1,1013101,shp-101-01,1,2
8275070,101,1,"101 Huntington - Metro North",,1,1011101,shp-101-01,1,2
1731020,101,4,"101 Huntington - Metro North",,1,1014101,shp-101-01,1,2
8353020,101,4,"101 Huntington - Metro North",,1,1017101,shp-101-01,1,2
5099020,101,4,"101 Huntington - Metro North",,1,1012101,shp-101-01,1,2
4522080,101,3,"101 Huntington - Metro North",,1,1011101,shp-101-01,1,2
1763070,101,1,"101 Huntington - Metro North",,1,1011101,shp-101-01,1,2
6119080,101,3,"101 Mt Vernon",,0,1011101,shp-101-51,1,2
857010,101,2,"101 Mt Vernon",,0,1011101,shp-101-51,1,2
5121070,101,1,"101 Mt Vernon",,0,1011101,shp-101-51,1,2
8441070,101,1,"101 Mt Vernon",,0,1012101,shp-101-51,1,2
3902010,101,2,"101 Mt Vernon",,0,1011101,shp-101-51,1,2
8824070,101,1,"101 Mt Vernon",,0,1011101,shp-101-51,1,2
246020,101,4,"101 Mt Vernon",,0,1012101,shp-101-51,1,2
8672010,101,2,"101 Mt Vernon",,0,1011101,shp-101-51,1,2
2771020,101,4,"101 Mt Vernon",,0,1016101,shp-101-51,1,2
2104080,101,3,"101 Mt Vernon",,0,1011101,shp-101-51,1,2
9364080,101,3,"101 Mt Vernon",,0,1011101,shp-101-51,1,2
4063020,101,4,"101 Mt Vernon",,0,1017101,shp-101-51,1,2
1623020,101,4,"101 Mt Vernon",,0,1015101,shp-101-51,1,2
8806080,101,3,"101 Mt Vernon",,0,1011101,shp-101-51,1,2
6314070,101,1,"101 Mt Vernon",,0,1011101,shp-101-51,1,2
1280070,101,1,"101 Mt Vernon",,0,1012101,shp-101-51,1,2
556070,101,1,"101 Mt Vernon",,0,1012101,shp-101-51,1,2
562020,101,4,"101 Mt Vernon",,0,1015101,shp-101-51,1,2
6232080,101,3,"101 Mt Vernon",,0,1011101,shp-101-51,1,2
3791020,101,4,"101 Mt Vernon",,0,1012101,shp-101-51,1,2
1460070,101,1,"101 Mt Vernon",,0,1011101,shp-101-51,1,2
5366070,101,1,"101 Mt Vernon",,0,1011101,shp-101-51,1,2
5910020,101,4,"101 Mt Vernon",,0,1012101,shp-101-51,1,2
3142020,101,4,"101 Mt Vernon",,0,1013101,shp-101-51,1,2
8848070,101,1,"101 Mt Vernon",,0,1012101,shp-101-51,1,2
8627020,101,4,"101 Mt Vernon",,0,1015101,shp-101-51,1,2
5361020,101,4,"101 Mt Vernon",,0,1015101,shp-101-51,1,2
709070,101,1,"101 Mt Vernon",,0,1011101,shp-101-51,1,2
7306020,101,4,"101 Mt Vernon",,0,1015101,shp-101-51,1,2
4927010,101,2,"101 Mt Vernon",,0,1012101,shp-101-51,1,2
2835010,101,2,"101 Mt Vernon",,0,1012101,shp-101-51,1,2
6297020,101,4,"101 Mt Vernon",,0,1015101,shp-101-51,1,2
1651080,101,3,"101 Mt Vernon",,0,1011101,shp-101-51,1,2
5469080,101,3,"101 Mt Vernon",,0,1011101,shp-101-51,1,2
8284080,101,3,"101 Mt Vernon",,0,1012101,shp-101-51,1,2
7422080,101,3,"101 Mt Vernon",,0,1012101,shp-101-51,1,2
4290020,101,4,"101 Mt Vernon",,0,1013101,shp-101-51,1,2
2842020,101,4,"101 Mt Vernon",,0,1015101,shp-101-51,1,2
4263070,101,1,"101 Mt Vernon",,0,1011101,shp-101-51,1,2
1072070,101,1,"101 Mt Vernon",,0,1011101,shp-101-51,1,2
8158080,101,3,"101 Mt Vernon",,0,1011101,shp-101-51,1,2
